P=268.988,-106.694,-46.5668,-110.871,-1.01363,186.662,;
P=268.173,-96.8142,-43.0135,-111.804,2.26638,186.128,;
P=267.703,-86.9435,-38.6592,-112.839,7.31345,185.428,;
P=267.245,-77.8466,-33.5931,-113.435,13.7271,183.664,;
P=266.443,-70.0818,-27.6451,-113.36,20.7399,180.372,;
P=265.06,-64.0119,-20.628,-112.657,27.4906,175.421,;
P=263.202,-59.8073,-12.6401,-111.515,33.3032,168.882,;
P=261.393,-57.3897,-4.21814,-110.138,37.847,160.935,;
P=260.407,-56.398,3.80504,-108.635,41.2009,151.766,;
P=260.919,-56.2685,10.6394,-106.985,43.8226,141.503,;
P=263.268,-56.4715,15.7682,-105.023,46.4658,130.194,;
P=266.87,-56.961,19.5693,-102.322,49.9155,118.203,;
P=271.087,-57.999,22.4833,-98.6033,54.548,105.904,;
P=275.342,-59.9135,24.9583,-93.8047,60.3379,93.6087,;
P=279.213,-62.9113,27.4088,-88.096,66.9485,81.4958,;
P=282.456,-66.995,30.1768,-81.8409,73.8559,69.5925,;
P=284.994,-71.9703,33.4961,-75.5313,80.4605,57.8382,;
P=286.849,-77.505,37.4719,-69.7169,86.1632,46.1728,;
P=288.755,-79.9601,37.0994,-81.1312,71.6634,46.1728,;
HALT
P=-71.2454,-79.9601,37.0994,-81.1312,71.6634,46.1728,;
P=-66.8035,-92.1241,31.8904,-69.7169,70.5284,52.0115,;
P=-74.9542,-94.2833,16.3698,-74.1467,62.5515,58.4926,;
P=-84.4749,-93.2953,1.88203,-79.3664,54.4774,64.8061,;
P=-94.3184,-88.7849,-11.1612,-85.5004,46.2688,71.5544,;
P=-103.835,-81.0902,-22.28,-91.9979,38.212,79.3049,;
P=-113.073,-70.799,-30.9392,-98.0364,30.8291,88.4705,;
P=-122.686,-58.5926,-36.247,-102.909,24.7417,99.1446,;
P=-134.079,-45.472,-36.5693,-106.387,20.3962,110.998,;
P=-150.405,-33.1503,-28.7464,-108.879,17.7894,123.461,;
P=-177.508,-24.6557,-7.43375,-111.277,16.457,136.209,;
P=-213.63,-24.3227,24.1314,-113.561,16.4817,149.478,;
P=-239.177,-31.8719,45.0342,-115.232,18.2771,163.52,;
P=-251.646,-42.4819,51.9196,-115.317,22.4326,178.279,;
P=-256.632,-53.2355,50.5386,-112.586,29.2794,193.167,;
P=-256.66,-63.4179,44.8002,-105.95,38.5748,207.246,;
P=-252.819,-73.827,37.5799,-94.6895,49.7751,219.7,;
P=-246.064,-85.8715,31.0491,-78.0921,62.7234,230.173,;
P=-250.376,-73.7942,36.7783,-87.7071,65.5133,224.292,;
HALT
